scenario,sales_per_year,gross_margin_pct,gross_per_year,base_salary,commission_pct_of_sales,commission,total_comp,comp_pct_of_gross,company_keeps_gross,note
current_conservative,4800000,0.20,960000,75000,0.006,28800,103800,0.108,856200,"today: $75k base + 0.6% of sales; conservative 20% margin"
current_real,4800000,0.27,1296000,75000,0.006,28800,103800,0.080,1192200,"today at real ~27% margin; commission is 0.6% of sale price"
proposed_1.5pct,4800000,0.27,1296000,75000,0.015,72000,147000,0.113,1149000,"raise commission to 1.5% of sales"
proposed_2.0pct_real,4800000,0.27,1296000,75000,0.020,96000,171000,0.132,1125000,"RECOMMENDED: 2% of sales, real margin"
proposed_2.0pct_conservative,4800000,0.20,960000,75000,0.020,96000,171000,0.178,789000,"recommended 2% at conservative 20% margin"
proposed_2.5pct,4800000,0.27,1296000,75000,0.025,120000,195000,0.150,1101000,"upper band 2.5% of sales"
full_standard_25pct_gross,4800000,0.27,1296000,75000,0.0675,324000,399000,0.308,897000,"if paid the full dealer standard (25% of gross = 6.75% of sales); shown as ceiling, not proposed"
margin_18_proposed,4800000,0.18,864000,75000,0.020,96000,171000,0.198,693000,"margin sensitivity pessimistic, 2% plan"
margin_22_proposed,4800000,0.22,1056000,75000,0.020,96000,171000,0.162,885000,"margin sensitivity, 2% plan"
higher_producer_600k_mo,7200000,0.27,1944000,75000,0.020,144000,219000,0.113,1725000,"strong producer: $600k/mo sales at 2%"
comp_as_pct_of_sales_proposed,4800000,,,75000,0.020,96000,171000,,,"recommended total comp = $171k = 3.6% of $4.8M sales; cf WEDA equipment dealers ~7% of sales for all sales salaries"
industry_norm_commission,,,,,,,,0.25,,"dealer-standard commission = 20-30% of front-end GROSS, 25% most common (auto/RV/powersports/farm equip; see sources.md Section A)"
